,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
113,fragul,Leucophaeus pipixcan,Franklin's Gull,Franklin's Gull,waterbird,Charadriiformes,Laridae,11,3,
116,gbbgul,Larus marinus,Great Black-backed Gull,Great Black-backed Gull,waterbird,Charadriiformes,Laridae,15,3,
117,glagul,Larus hyperboreus,Glaucous Gull,Glaucous Gull,waterbird,Charadriiformes,Laridae,13,3,
129,greyel,Tringa melanoleuca,Greater Yellowlegs,Greater Yellowlegs,shorebird,Charadriiformes,Scolopacidae,14,3,
138,hergul,Larus argentatus,Herring Gull,Herring Gull,waterbird,Charadriiformes,Laridae,12,3,
148,hudgod,Limosa haemastica,Hudsonian Godwit,Hudsonian Godwit,shorebird,Charadriiformes,Scolopacidae,17,3,
151,killde,Charadrius vociferus,Killdeer,Killdeer,shorebird,Charadriiformes,Charadriidae,10,3,
154,laugul,Leucophaeus atricilla,Laughing Gull,Laughing Gull,waterbird,Charadriiformes,Laridae,11,3,
155,lbbgul,Larus fuscus,Lesser Black-backed Gull,Lesser Black-backed Gull,waterbird,Charadriiformes,Laridae,7,3,
159,leasan,Calidris minutilla,Least Sandpiper,Least Sandpiper,shorebird,Charadriiformes,Scolopacidae,11,3,
161,lesyel,Tringa flavipes,Lesser Yellowlegs,Lesser Yellowlegs,shorebird,Charadriiformes,Scolopacidae,13,3,
165,lobcur,Numenius americanus,Long-billed Curlew,Long-billed Curlew,shorebird,Charadriiformes,Scolopacidae,12,3,
166,lobdow,Limnodromus scolopaceus,Long-billed Dowitcher,Long-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,14,3,
173,margod,Limosa fedoa,Marbled Godwit,Marbled Godwit,shorebird,Charadriiformes,Scolopacidae,15,3,
202,pecsan,Calidris melanotos,Pectoral Sandpiper,Pectoral Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,
210,pipplo,Charadrius melodus,Piping Plover,Piping Plover,shorebird,Charadriiformes,Charadriidae,16,3,
216,pursan,Calidris maritima,Purple Sandpiper,Purple Sandpiper,shorebird,Charadriiformes,Scolopacidae,12,3,
223,redkno,Calidris canutus,Red Knot,Red Knot,shorebird,Charadriiformes,Scolopacidae,13,3,
231,ribgul,Larus delawarensis,Ring-billed Gull,Ring-billed Gull,waterbird,Charadriiformes,Laridae,8,3,
236,rocsan,Calidris ptilocnemis,Rock Sandpiper,Rock Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,
240,royter1,Thalasseus maximus,Royal Tern,Royal Tern,waterbird,Charadriiformes,Laridae,11,3,
244,rudtur,Arenaria interpres,Ruddy Turnstone,Ruddy Turnstone,shorebird,Charadriiformes,Scolopacidae,14,3,
