"","X.1","X","species_code","scientific_name","common_name.x","common_name.y","group","order","family","CCS.max","habitat_score","habitat_comment","English","bodymass","mass_comments","log_bodymass","predicted_defecation_rate","log_predicted_defecation_rate"
"58",58,4,"ameavo","Recurvirostra americana","American Avocet","American Avocet","shorebird","Charadriiformes","Recurvirostridae",11,3,"","American Avocet",304.48,"",5.71860540354784,11.6807259937342,2.4579401324662
"59",59,13,"amgplo","Pluvialis dominica","American Golden-Plover","American Golden-Plover","shorebird","Charadriiformes","Charadriidae",15,3,"","American Golden Plover",151.47,"",5.02038758553893,6.5729210089131,1.88295833170019
"60",60,18,"baisan","Calidris bairdii","Baird's Sandpiper","Baird's Sandpiper","shorebird","Charadriiformes","Scolopacidae",13,3,"","Baird's Sandpiper",40.97,"",3.71284009155878,2.23936880409017,0.806194042270094
"61",61,31,"bkbplo","Pluvialis squatarola","Black-bellied Plover","Black-bellied Plover","shorebird","Charadriiformes","Charadriidae",13,3,"","Grey Plover",250,"",5.52146091786225,9.93031113219326,2.29559181011338
"62",62,37,"blkter","Chlidonias niger","Black Tern","Black Tern","waterbird","Charadriiformes","Laridae",12,3,"","Black Tern",65.3,"",4.17899203628239,3.2873106096805,1.19006978662175
"63",63,45,"bongul","Chroicocephalus philadelphia","Bonaparte's Gull","Bonaparte's Gull","waterbird","Charadriiformes","Laridae",10,3,"",NA,210.71,"",5.35048278052872,8.62609105613085,2.15479145417861
"64",64,57,"bubsan","Calidris subruficollis","Buff-breasted Sandpiper","Buff-breasted Sandpiper","shorebird","Charadriiformes","Scolopacidae",15,3,"",NA,62.1,"",4.12874598893943,3.15406534929619,1.14869220782404
"65",65,64,"calgul","Larus californicus","California Gull","California Gull","waterbird","Charadriiformes","Laridae",12,3,"","California Gull",683.39,"",6.52706570685537,22.7304748719344,3.12370652950431
"66",66,71,"caster1","Hydroprogne caspia","Caspian Tern","Caspian Tern","waterbird","Charadriiformes","Laridae",9,3,"",NA,655,"",6.48463523563525,21.9499546012078,3.08876507123694
"67",67,97,"dunlin","Calidris alpina","Dunlin","Dunlin","shorebird","Charadriiformes","Scolopacidae",12,3,"","Dunlin",51.89,"",3.94912609337965,2.72039032288708,1.00077537107404
"68",68,111,"forter","Sterna forsteri","Forster's Tern","Forster's Tern","waterbird","Charadriiformes","Laridae",13,3,"","Forster's Tern",149,"",5.00394630594546,6.48452747902865,1.86941895143271
"69",69,113,"fragul","Leucophaeus pipixcan","Franklin's Gull","Franklin's Gull","waterbird","Charadriiformes","Laridae",11,3,"",NA,280,"",5.63478960316925,10.9016907246809,2.38891788956247
"70",70,116,"gbbgul","Larus marinus","Great Black-backed Gull","Great Black-backed Gull","waterbird","Charadriiformes","Laridae",15,3,"","Great Black-backed Gull",1649.71,"",7.4083547938717,46.9671006401391,3.84944737022519
"71",71,117,"glagul","Larus hyperboreus","Glaucous Gull","Glaucous Gull","waterbird","Charadriiformes","Laridae",13,3,"","Glaucous Gull",1529.04,"",7.33239536647634,44.1191903898796,3.78689484403288
"72",72,129,"greyel","Tringa melanoleuca","Greater Yellowlegs","Greater Yellowlegs","shorebird","Charadriiformes","Scolopacidae",14,3,"","Greater Yellowlegs",161.74,"",5.08599010766768,6.93778080670472,1.93698195489552
