scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Lichenostomus_unicolor,Passeriformes,7.2,8.75,0.82,30.7,So,Se,Pl,In,D
Lichmera_indistincta,Passeriformes,5.2,6.15,0.51,11.18,So,Se,Pl,In,D
Limicola_falcinellus,Charadriiformes,6.5,NA,0.72,37.1,Op,Mi,An,Te,D
Limnodromus_griseus,Charadriiformes,8.8,NA,1.38,110.53,Op,Mi,An,Te,D
Limnodromus_scolopaceus,Charadriiformes,8.3,NA,1.37,104.4,Op,Mi,An,Te,D
Limnothlypis_swainsonii,Passeriformes,6.3,7.65,0.67,18.9,De,Mi,An,Te,D
Limosa_lapponica,Charadriiformes,9.4,NA,2.77,291.65,Op,Mi,An,Te,D
Limosa_limosa,Charadriiformes,9.8,NA,2.7,288.37,Op,Mi,An,Te,D
Lipaugus_vociferans,Passeriformes,12.1,14.4,1.63,75.42,De,Se,Om,In,D
Lonchura_bicolor,Passeriformes,4.75,5.5,0.42,9.9,So,Se,Pl,In,D
Lonchura_punctulata,Passeriformes,5.2,6.25,0.46,13.6,So,Se,Pl,Ge,D
Lonchura_striata,Passeriformes,5.5,6.8,0.74,12.3,Op,Se,Pl,In,D
Lophophorus_impejanus,Galliformes,9.33,11.75,6.2,2066.51,Op,Se,Pl,Te,D
Lophorina_superba,Passeriformes,10.2,12.1,2.6,76.66,De,Se,Om,In,D
Lophura_swinhoii,Galliformes,7,9.8,4.25,1100,De,Se,Pl,Te,D
Lorius_garrulus,Psittaciformes,10.2,12.7,5.17,143,De,Se,Pl,In,D
Lorius_lory,Psittaciformes,10.3,12.65,5.12,176.89,De,Se,Pl,In,D
Loxia_leucoptera,Passeriformes,6.4,7.25,1.38,28.69,De,Mi,Pl,In,D
Loxigilla_violacea,Passeriformes,7.55,9.45,1.16,22.17,So,Se,Pl,In,D
Lullula_arborea,Passeriformes,7.8,9.4,0.82,26.9,Op,Pm,Om,Te,D
Luscinia_megarhynchos,Passeriformes,7.6,9.2,0.7,19.6,De,Mi,An,Ge,D
Machetornis_rixosa,Passeriformes,8.7,10.15,0.96,29.6,Op,Se,An,Te,D
Macronous_gularis,Passeriformes,6.4,7.4,0.65,11.83,So,Se,An,In,D
Macropygia_phasianella,Columbiformes,9.4,11.95,1.46,237,De,Pm,Pl,In,D
Macropygia_unchall,Columbiformes,10.8,13.3,1.48,168,De,Se,Pl,In,D
Malaconotus_cruentus,Passeriformes,11.85,14.6,2.28,76.69,De,Se,An,In,D
Malacoptila_panamensis,Piciformes,10.7,13.6,1.15,42.6,De,Se,An,In,D
Malurus_cyaneus,Passeriformes,6,7.35,0.47,10.33,So,Se,An,Te,D
Malurus_lamberti,Passeriformes,6.3,7.45,0.46,8.04,So,Se,An,In,D
Malurus_melanocephalus,Passeriformes,5.7,7.05,0.45,7.9,De,Se,An,Te,D
Manacus_manacus,Passeriformes,7.25,8.58,0.59,16.7,De,Se,Pl,In,D
Manacus_vitellinus,Passeriformes,7.1,8.55,0.62,18.16,De,Se,Pl,In,D
Manorina_flavigula,Passeriformes,8.8,10.95,1.37,55.9,So,Se,An,In,D
Manorina_melanophrys,Passeriformes,7.2,8.8,1.14,30.39,So,Se,An,In,D
Margarops_fuscatus,Passeriformes,11.3,13.35,2.35,98.43,So,Se,Om,In,D
Margarops_fuscus,Passeriformes,10.3,12.1,1.54,67.07,De,Se,Om,In,D
Mecocerculus_leucophrys,Passeriformes,6.6,7.8,0.48,10.98,De,Se,An,In,D
Megaceryle_alcyon,Coraciiformes,13.5,16.33,2.46,148,Op,Pm,An,In,D
Megaceryle_torquata,Coraciiformes,16.6,20.2,3.57,317,Op,Se,An,In,D
Megalaima_asiatica,Piciformes,10.9,13.1,1.53,90.5,De,Se,Pl,In,D
Megalaima_haemacephala,Piciformes,8.9,11.45,0.97,44.49,So,Se,Om,In,D
Megalaima_oorti,Piciformes,10.7,12.7,1.45,87.69,De,Se,Pl,In,D
Megalaima_virens,Piciformes,12.6,15.35,2.12,202,De,Se,Pl,In,D
Megalaima_zeylanica,Piciformes,11.9,14.65,1.9,119,De,Se,Pl,In,D
Megapodius_freycinet,Galliformes,12.23,15.5,3.78,642.48,So,Se,Pl,Te,D
Megarynchus_pitangua,Passeriformes,10.65,12.75,1.17,69.91,So,Se,An,In,D
Melampitta_lugubris,Passeriformes,11.7,13.4,2.1,42.67,De,Se,An,Te,D
Melanerpes_aurifrons,Piciformes,9.5,11.7,2.2,80.77,So,Se,Om,In,D
Melanerpes_carolinus,Piciformes,9.8,11.95,2.16,69.5,De,Se,Om,In,D
Melanerpes_erythrocephalus,Piciformes,9,10.83,1.78,71.6,De,Se,An,In,D
Melanerpes_formicivorus,Piciformes,9.1,11.75,1.99,79.62,So,Se,Pl,In,D
Melanerpes_lewis,Piciformes,9.9,12.85,2.22,105.76,So,Mi,Om,In,D
Melanocharis_nigra,Passeriformes,6.7,8,0.54,14.16,De,Se,Om,In,D
Melanodryas_cucullata,Passeriformes,8.5,10.3,0.8,21.1,So,Se,An,In,D
Melanoptila_glabrirostris,Passeriformes,9.3,11.2,1.2,35.4,So,Se,Om,In,D
Meleagris_gallopavo,Galliformes,17.5,21.17,8.21,5791.37,So,Se,Pl,Te,D
Meleagris_ocellata,Galliformes,19.2,23.6,5.84,5525,So,Se,Pl,Te,D
Melidectes_torquatus,Passeriformes,8.3,10.6,1.45,44.93,So,Se,Om,In,D
Melidora_macrorrhina,Coraciiformes,15.2,18.18,2.3,97,De,Se,An,In,N
Melilestes_megarhynchus,Passeriformes,8.2,9.8,1.27,43.76,De,Se,Om,In,D
Meliphaga_lewinii,Passeriformes,7.8,9.9,1.17,33.58,De,Se,Pl,In,D
