X,species_code,scientific_name,common_name.x,group,order,family,Song_etal,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,VI,VI_scaled
215,robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,landbird,Passeriformes,Cardinalidae,0,10,1,,42,2.285628719,7.002746657,2,2,3,4,9,0.06072874493927125
216,rocpig,Columba livia,Rock Pigeon,landbird,Columbiformes,Columbidae,0,7,1,,354.2,13.23016685,15.95345576,4,5,1,1,2.5,0.008097165991902834
217,rolhaw,Buteo lagopus,Rough-legged Hawk,landbird,Accipitriformes,Accipitridae,0,9,1,,949.76,29.80738036,19.54447995,3,5,2,1,4,0.020242914979757085
218,doccor,Nannopterum auritum,Double-crested Cormorant,waterbird,Suliformes,Phalacrocoracidae,0,8,3,,1806.49,50.61306522,7.188062921,5,2,2,4,27,0.20647773279352227
219,ycnher,Nyctanassa violacea,Yellow-crowned Night Heron,waterbird,Pelecaniformes,Ardeidae,0,12,3,,681.67,22.6833524,33.95081046,3.4,5,5,1,33,0.2550607287449393
220,rthhum,Archilochus colubris,Ruby-throated Hummingbird,landbird,Apodiformes,Trochilidae,0,8,1,,3.09,0.266527258,11.57611245,2,4,1,2,2,0.004048582995951417
221,ruckin,Corthylio calendula,Ruby-crowned Kinglet,landbird,Passeriformes,Regulidae,0,7,1,,6.19,0.472299869,6.285223499,1,1,1,5,3,0.012145748987854251
222,bcnher,Nycticorax nycticorax,Black-crowned Night Heron,waterbird,Pelecaniformes,Ardeidae,1,10,3,Remained mostly stable - increased 1.24x (Song et al. 2024),810,26.14545796,12.25769294,4,4,3,2,27,0.20647773279352227
223,rudtur,Arenaria interpres,Ruddy Turnstone,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,135.98,6.014176486,12.07954828,4,4,5,2,75,0.5951417004048583
224,rufgro,Bonasa umbellus,Ruffed Grouse,landbird,Galliformes,Phasianidae,0,8,1,,530.91,18.46348621,12.43928823,5,4,1,2,3.5,0.016194331983805668
225,rusbla,Euphagus carolinus,Rusty Blackbird,landbird,Passeriformes,Icteridae,0,12,1,,59.57,3.047859886,14.20393003,3,5,5,1,10,0.06882591093117409
226,rudduc,Oxyura jamaicensis,Ruddy Duck,waterfowl,Anseriformes,Anatidae,0,8,5,Needs space to take off,608.15,20.64865475,9.207512113,5,3,1,3,20,0.14979757085020243
227,amwpel,Pelecanus erythrorhynchos,American White Pelican,waterbird,Pelecaniformes,Pelecanidae,0,10,4,,5608.48,128.6566246,9.379035159,5,3,3,3,48,0.3765182186234818
228,sander,Calidris alba,Sanderling,shorebird,Charadriiformes,Scolopacidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,51.71,2.712616828,10.88588498,3,4,5,2,62.5,0.4939271255060729
229,brnpel,Pelecanus occidentalis,Brown Pelican,waterbird,Pelecaniformes,Pelecanidae,0,11,4,,3427.84,85.77243573,9.724952543,5,3,4,3,64,0.5060728744939271
230,savspa,Passerculus sandwichensis,Savannah Sparrow,landbird,Passeriformes,Passerellidae,0,10,1,,19.97,1.239143191,11.28360618,2.416666667,4,4,2,8.833333334,0.059379217279352234
231,scatan,Piranga olivacea,Scarlet Tanager,landbird,Passeriformes,Cardinalidae,0,12,1,,28.2,1.646418268,6.772148,2,2,4,4,12,0.08502024291497975
232,sedwre1,Cistothorus stellaris,Sedge Wren,landbird,Passeriformes,Troglodytidae,0,9,1,,9.04,0.645156598,8.168481776,2,2,3,4,9,0.06072874493927125
233,semsan,Calidris pusilla,Semipalmated Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,27.5,1.612688607,7.704814845,3.535714286,2,5,4,94.196428575,0.7505783690283401
234,shbdow,Limnodromus griseus,Short-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,0,15,5,Shorebirds strongly negatively affected in Song et al. 2024,110.53,5.070671422,17.05228812,4,5,5,1,62.5,0.4939271255060729
235,sheowl,Asio flammeus,Short-eared Owl,landbird,Strigiformes,Strigidae,0,12,1,,322.61,12.2505435,7.844224494,3,2,4,4,14,0.10121457489878542
236,shshaw,Accipiter striatus,Sharp-shinned Hawk,landbird,Accipitriformes,Accipitridae,0,9,1,,130.59,5.817164037,22.8759752,2,5,2,1,3,0.012145748987854251
237,snobun,Plectrophenax nivalis,Snow Bunting,landbird,Passeriformes,Calcariidae,0,11,1,,42.2,2.294587881,8.216727041,2,2,4,4,12,0.08502024291497975
238,grecor,Phalacrocorax carbo,Great Cormorant,waterbird,Suliformes,Phalacrocoracidae,1,10,3,Remained mostly stable - increased 1.21x (Song et al. 2024),2528.97,66.77018097,8.654677411,5,3,3,3,36,0.2793522267206478
239,gloibi,Plegadis falcinellus,Glossy Ibis,waterbird,Pelecaniformes,Threskiornithidae,0,8,3,,626.61,21.16343827,5.695472285,4,1,2,5,27,0.20647773279352227
240,snoowl1,Bubo scandiacus,Snowy Owl,landbird,Strigiformes,Strigidae,0,13,1,,2028.76,55.68817339,8.644468768,4,3,5,3,17.5,0.12955465587044535
241,solsan,Tringa solitaria,Solitary Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,10,5,Shorebirds strongly negatively affected in Song et al. 2024,48.4,2.568798261,13.05361176,3,4,3,2,37.5,0.291497975708502
242,sonspa,Melospiza melodia,Song Sparrow,landbird,Passeriformes,Passerellidae,0,9,1,,21.91,1.33745483,6.404736197,3,1,2,5,8,0.05263157894736842
243,horgre,Podiceps auritus,Horned Grebe,waterbird,Podicipediformes,Podicipedidae,0,13,5,,453,16.20152579,6.340335355,5,1,5,5,125,1
244,sposan,Actitis macularius,Spotted Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,12,5,Shorebirds strongly negatively affected in Song et al. 2024,40.4,2.213680614,10.8722438,3,4,4,2,50,0.39271255060728744
245,sprgro,Canachites canadensis,Spruce Grouse,landbird,Galliformes,Phasianidae,0,8,1,,473.65,16.80731411,5.9772275520000004,4.944444444,1,2,5,9.944444444,0.06837606837246964
246,stisan,Calidris himantopus,Stilt Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,15,5,Shorebirds strongly negatively affected in Song et al. 2024,57.24,2.949343965,7.309369927,3.535714286,2,5,4,94.196428575,0.7505783690283401
247,sumtan,Piranga rubra,Summer Tanager,landbird,Passeriformes,Cardinalidae,0,8,1,,29.13,1.691003136,7.163096649,2,2,2,4,6,0.03643724696356275
248,rengre,Podiceps grisegena,Red-necked Grebe,waterbird,Podicipediformes,Podicipedidae,0,9,5,,1023,31.6877455,6.199910225,5,1,3,5,75,0.5951417004048583
249,swaspa,Melospiza georgiana,Swamp Sparrow,landbird,Passeriformes,Passerellidae,0,7,2,,16.1,1.037722765,7.010961465,2,2,1,4,6,0.03643724696356275
250,swathr,Catharus ustulatus,Swainson's Thrush,landbird,Passeriformes,Turdidae,0,9,1,,30.3,1.74673899,6.155982756,2,1,2,5,7,0.044534412955465584
251,swawar,Limnothlypis swainsonii,Swainson's Warbler,landbird,Passeriformes,Parulidae,0,13,1,,18.9,1.184203864,8.17918726,1.470588235,2,5,4,13.6764705875,0.09859490354251013
252,tenwar,Leiothlypis peregrina,Tennessee Warbler,landbird,Passeriformes,Parulidae,0,10,1,,8.9,0.636917404,11.0062338,1.470588235,4,4,2,6.94117647,0.044058109068825915
253,treswa,Tachycineta bicolor,Tree Swallow,landbird,Passeriformes,Hirundinidae,0,10,2,,21.2,1.301660478,5.767823852,1,1,3,5,18,0.13360323886639677
254,pibgre,Podilymbus podiceps,Pied-billed Grebe,waterbird,Podicipediformes,Podicipedidae,0,8,5,,411.93,14.98187498,5.903639807,5,1,2,5,50,0.39271255060728744
255,sora,Porzana carolina,Sora,waterbird,Gruiformes,Rallidae,0,9,3,,74.8,3.6763568,15.48026005,4,5,2,1,15,0.10931174089068826
256,tuftit,Baeolophus bicolor,Tufted Titmouse,landbird,Passeriformes,Paridae,0,7,1,,21.6,1.321851885,7.86580394,2,2,1,4,3,0.012145748987854251
257,kinrai4,Rallus elegans,King Rail,waterbird,Gruiformes,Rallidae,0,15,3,,313.31,11.95897557,6.627453324,4,1,5,5,67.5,0.5344129554655871
258,turvul,Cathartes aura,Turkey Vulture,landbird,Cathartiformes,Cathartidae,0,6,1,,1518.24,43.86240696,22.67761567,4,5,1,1,2.5,0.008097165991902834
259,uplsan,Bartramia longicauda,Upland Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,11,5,,158.92,6.838013615,7.881326899,3.535714286,2,4,4,75.35714286,0.5980335454251012
260,veery,Catharus fuscescens,Veery,landbird,Passeriformes,Turdidae,0,11,1,,31.9,1.822349278,5.9772275520000004,2,1,4,5,14,0.10121457489878542
261,vesspa,Pooecetes gramineus,Vesper Sparrow,landbird,Passeriformes,Passerellidae,0,11,1,,25.68,1.524268825,6.141142038,3,1,4,5,16,0.11740890688259109
262,virrai,Rallus limicola,Virginia Rail,waterbird,Gruiformes,Rallidae,0,10,3,,84.1,4.048826335,9.862612255,3,3,3,3,27,0.20647773279352227
263,warvir,Vireo gilvus,Warbling Vireo,landbird,Passeriformes,Vireonidae,0,8,1,,12.67,0.851916172,5.886931016,2,1,2,5,7,0.044534412955465584
264,wessan,Calidris mauri,Western Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,27.82,1.628126456,7.602335506,3.535714286,2,5,4,94.196428575,0.7505783690283401
265,whbnut,Sitta carolinensis,White-breasted Nuthatch,landbird,Passeriformes,Sittidae,0,6,1,,21,1.291539609,7.100573713,2,2,1,4,3,0.012145748987854251
266,whcspa,Zonotrichia leucophrys,White-crowned Sparrow,landbird,Passeriformes,Passerellidae,0,9,1,,28,1.636796459,13.96678372,2.416666667,4,3,2,6.6250000005,0.04149797571255061
267,whevir,Vireo griseus,White-eyed Vireo,landbird,Passeriformes,Vireonidae,0,7,1,,11.4,0.780946896,6.065377956,2,1,1,5,3.5,0.016194331983805668
268,norsho,Spatula clypeata,Northern Shoveler,waterfowl,Anseriformes,Anatidae,1,7,5,completely absent in FPV (Song et al. 2024),612.56,20.77188167,13.4446464,5,4,1,2,17.5,0.12955465587044535
269,whtspa,Zonotrichia albicollis,White-throated Sparrow,landbird,Passeriformes,Passerellidae,0,9,1,,24.4,1.461421893,6.290796182,3,1,2,5,8,0.05263157894736842
270,whwcro,Loxia leucoptera,White-winged Crossbill,landbird,Passeriformes,Fringillidae,0,6,1,,28.69,1.669941032,14.35846086,2.125,5,1,1,1.5625,5.060728744939271e-4
271,buwtea,Spatula discors,Blue-winged Teal,waterfowl,Anseriformes,Anatidae,0,8,4,,359.44,13.39113766,12.90516027,5,4,1,2,14,0.10121457489878542
272,wilfly,Empidonax traillii,Willow Flycatcher,landbird,Passeriformes,Tyrannidae,0,10,1,,13.39,0.891587777,6.242977594,1,1,3,5,9,0.06072874493927125
273,willet1,Tringa semipalmata,Willet,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,245.7,9.789441405,12.39677009,3,4,5,2,62.5,0.4939271255060729
274,wilsni1,Gallinago delicata,Wilson's Snipe,shorebird,Charadriiformes,Scolopacidae,0,9,5,Shorebirds strongly negatively affected in Song et al. 2024,112.5,5.144979459,6.496773973,3.535714286,1,3,5,64.017857145,0.5062174667611335
275,wiltur,Meleagris gallopavo,Wild Turkey,landbird,Galliformes,Phasianidae,0,7,1,,5791.37,132.1017438,9.659882117,5,3,1,3,4,0.020242914979757085
276,winwre3,Troglodytes hiemalis,Winter Wren,landbird,Passeriformes,Troglodytidae,0,12,1,,9.74,0.686023061,9.467681646,2,3,4,3,10,0.06882591093117409
277,wlswar,Cardellina pusilla,Wilson's Warbler,landbird,Passeriformes,Parulidae,0,9,1,,6.96,0.520174721,7.835995242,2,2,2,4,6,0.03643724696356275
278,woewar1,Helmitheros vermivorum,Worm-eating Warbler,landbird,Passeriformes,Parulidae,0,13,1,,14.16,0.933600058,25.80339967,1.470588235,5,5,1,6.1764705875,0.037866158603238866
279,forter,Sterna forsteri,Forster's Tern,waterbird,Charadriiformes,Laridae,0,13,5,Gulls and terns strongly negatively affected in Song et al. 2024,149,6.484527479,13.87379953,2,4,5,2,50,0.39271255060728744
280,woothr,Hylocichla mustelina,Wood Thrush,landbird,Passeriformes,Turdidae,0,14,1,,50.09,2.642437997,10.63752226,2,3,5,3,12.5,0.08906882591093117
281,royter1,Thalasseus maximus,Royal Tern,waterbird,Charadriiformes,Laridae,0,11,5,Gulls and terns strongly negatively affected in Song et al. 2024,415.31,15.08303503,13.12897353,4,4,4,2,60,0.47368421052631576
282,santer1,Thalasseus sandvicensis,Sandwich Tern,waterbird,Charadriiformes,Laridae,0,10,5,Shorebirds strongly negatively affected in Song et al. 2024,199.83,8.257591892,18.03815902,3,5,3,1,30,0.23076923076923078
283,sabgul,Xema sabini,Sabine's Gull,waterbird,Charadriiformes,Laridae,0,12,5,Gulls and terns strongly negatively affected in Song et al. 2024,198,8.19526735,8.155122725,3.114285714,2,5,4,88.928571425,0.7079236552631579
284,yebcha,Icteria virens,Yellow-breasted Chat,landbird,Passeriformes,Icteriidae,0,10,1,,24.89,1.485547635,22.23912257,3,5,4,1,8,0.05263157894736842
285,yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,landbird,Cuculiformes,Cuculidae,0,11,1,,64,3.233321963,10.82553181,2,3,4,3,10,0.06882591093117409
286,yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,landbird,Passeriformes,Tyrannidae,0,10,1,,11.8,0.803443199,6.407380234,1,1,3,5,9,0.06072874493927125
287,yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,landbird,Piciformes,Picidae,0,7,1,,50.3,2.651557597,5.861614378,2,1,1,5,3.5,0.016194331983805668
288,yelwar,Setophaga petechia,Yellow Warbler,landbird,Passeriformes,Parulidae,0,8,1,,10.8,0.746938491,18.00334865,1.470588235,5,2,1,2.470588235,0.007859014048582996
289,yerwar,Setophaga coronata,Yellow-rumped Warbler,landbird,Passeriformes,Parulidae,0,8,1,,11.94,0.811284922,8.667672597,2,3,2,3,5,0.02834008097165992
290,yetvir,Vireo flavifrons,Yellow-throated Vireo,landbird,Passeriformes,Vireonidae,0,10,1,,18,1.13756731,6.28382815,2,1,3,5,10.5,0.0728744939271255
291,yetwar,Setophaga dominica,Yellow-throated Warbler,landbird,Passeriformes,Parulidae,0,10,1,,9.69,0.683121645,6.049900807,1,1,3,5,9,0.06072874493927125
