"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"275","Meleagris gallopavo","Wild Turkey","landbird","Galliformes","Phasianidae",5791.37,132.1017438,5,9.659882117,3,3,7,1,1,"",4
"276","Troglodytes hiemalis","Winter Wren","landbird","Passeriformes","Troglodytidae",9.74,0.686023061,2,9.467681646,3,3,12,4,1,"",10
"277","Cardellina pusilla","Wilson's Warbler","landbird","Passeriformes","Parulidae",6.96,0.520174721,2,7.835995242,2,4,9,2,1,"",6
"278","Helmitheros vermivorum","Worm-eating Warbler","landbird","Passeriformes","Parulidae",14.16,0.933600058,1.470588235,25.80339967,5,1,13,5,1,"",6.1764705875
"279","Sterna forsteri","Forster's Tern","waterbird","Charadriiformes","Laridae",149,6.484527479,2,13.87379953,4,2,13,5,5,"Gulls and terns strongly negatively affected in Song et al. 2024",50
"280","Hylocichla mustelina","Wood Thrush","landbird","Passeriformes","Turdidae",50.09,2.642437997,2,10.63752226,3,3,14,5,1,"",12.5
"281","Thalasseus maximus","Royal Tern","waterbird","Charadriiformes","Laridae",415.31,15.08303503,4,13.12897353,4,2,11,4,5,"Gulls and terns strongly negatively affected in Song et al. 2024",60
"282","Thalasseus sandvicensis","Sandwich Tern","waterbird","Charadriiformes","Laridae",199.83,8.257591892,3,18.03815902,5,1,10,3,5,"Shorebirds strongly negatively affected in Song et al. 2024",30
"283","Xema sabini","Sabine's Gull","waterbird","Charadriiformes","Laridae",198,8.19526735,3.114285714,8.155122725,2,4,12,5,5,"Gulls and terns strongly negatively affected in Song et al. 2024",88.928571425
"284","Icteria virens","Yellow-breasted Chat","landbird","Passeriformes","Icteriidae",24.89,1.485547635,3,22.23912257,5,1,10,4,1,"",8
"285","Coccyzus americanus","Yellow-billed Cuckoo","landbird","Cuculiformes","Cuculidae",64,3.233321963,2,10.82553181,3,3,11,4,1,"",10
"286","Empidonax flaviventris","Yellow-bellied Flycatcher","landbird","Passeriformes","Tyrannidae",11.8,0.803443199,1,6.407380234,1,5,10,3,1,"",9
"287","Sphyrapicus varius","Yellow-bellied Sapsucker","landbird","Piciformes","Picidae",50.3,2.651557597,2,5.861614378,1,5,7,1,1,"",3.5
"288","Setophaga petechia","Yellow Warbler","landbird","Passeriformes","Parulidae",10.8,0.746938491,1.470588235,18.00334865,5,1,8,2,1,"",2.470588235
"289","Setophaga coronata","Yellow-rumped Warbler","landbird","Passeriformes","Parulidae",11.94,0.811284922,2,8.667672597,3,3,8,2,1,"",5
"290","Vireo flavifrons","Yellow-throated Vireo","landbird","Passeriformes","Vireonidae",18,1.13756731,2,6.28382815,1,5,10,3,1,"",10.5
"291","Setophaga dominica","Yellow-throated Warbler","landbird","Passeriformes","Parulidae",9.69,0.683121645,1,6.049900807,1,5,10,3,1,"",9
