species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
scatan,Piranga olivacea,Scarlet Tanager,landbird,Passeriformes,Cardinalidae,12,1,,28.2,1.646418268,6.772148,2,2,4,4,7877.209783,1.923676796,12,0.230919199,2.771030387,0.831983806,7824.018191
sedwre1,Cistothorus stellaris,Sedge Wren,landbird,Passeriformes,Troglodytidae,9,1,,9.04,0.645156598,8.168481776,2,2,3,4,23.9249868,1.002805429,9,0.000701357,0.006312216,0.851417004,46.54023529
semsan,Calidris pusilla,Semipalmated Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,5,Shorebirds strongly negatively affected in Song et al. 2024,27.5,1.612688607,7.704814845,3.535714286,2,5,4,2201.140806,1.258104423,56.51785714,0.064526106,3.646877228,0.543609023,1968.036377
shbdow,Limnodromus griseus,Short-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,15,5,Shorebirds strongly negatively affected in Song et al. 2024,110.53,5.070671422,17.05228812,4,5,5,1,3804.782013,1.446146409,37.5,0.111536602,4.182622585,0.666801619,4474.563228
sheowl,Asio flammeus,Short-eared Owl,landbird,Strigiformes,Strigidae,12,1,,322.61,12.2505435,7.844224494,3,2,4,4,747.2699649,1.087624419,14,0.021906105,0.306685465,0.81902834,790.2119466
shshaw,Accipiter striatus,Sharp-shinned Hawk,landbird,Accipitriformes,Accipitridae,9,1,,130.59,5.817164037,22.8759752,2,5,2,1,3781.056549,1.443364376,3,0.110841094,0.332523282,0.890283401,2830.054249
snobun,Plectrophenax nivalis,Snow Bunting,landbird,Passeriformes,Calcariidae,11,1,,42.2,2.294587881,8.216727041,2,2,4,4,569.8650889,1.066822031,12,0.016705508,0.200466094,0.831983806,793.4366082
snoegr,Egretta thula,Snowy Egret,waterbird,Pelecaniformes,Ardeidae,7,3,,371,13.74480341,20.97598166,3.4,5,1,1,155.2391575,1.018203249,6.6,0.004550812,0.03003536,0.866963563,115.0299831
snogoo,Anser caerulescens,Snow Goose,waterfowl,Anseriformes,Anatidae,10,4,,2636.15,69.09192814,8.133619072,5,2,3,4,1822.87145,1.21374879,54,0.053437197,2.885608665,0.559919028,1279.401989
snoowl1,Bubo scandiacus,Snowy Owl,landbird,Strigiformes,Strigidae,13,1,,2028.76,55.68817339,8.644468768,4,3,5,3,108.1195835,1.012678036,17.5,0.003169509,0.055466408,0.796356275,408.1312095
solsan,Tringa solitaria,Solitary Sandpiper,shorebird,Charadriiformes,Scolopacidae,10,5,Shorebirds strongly negatively affected in Song et al. 2024,48.4,2.568798261,13.05361176,3,4,3,2,3367.549403,1.394876781,22.5,0.098719195,2.221181893,0.763967611,1799.593742
sonspa,Melospiza melodia,Song Sparrow,landbird,Passeriformes,Passerellidae,9,1,,21.91,1.33745483,6.404736197,3,1,2,5,4752.749728,1.557304523,8,0.139326131,1.114609046,0.857894737,3640.312987
sora,Porzana carolina,Sora,waterbird,Gruiformes,Rallidae,9,3,,74.8,3.6763568,15.48026005,4,5,2,1,640.9370336,1.075155884,15,0.018788971,0.281834565,0.812550607,317.7050844
sposan,Actitis macularius,Spotted Sandpiper,shorebird,Charadriiformes,Scolopacidae,12,5,Shorebirds strongly negatively affected in Song et al. 2024,40.4,2.213680614,10.8722438,3,4,4,2,1648.319162,1.193280896,30,0.048320224,1.449606717,0.715384615,944.5179055
sprgro,Canachites canadensis,Spruce Grouse,landbird,Galliformes,Phasianidae,8,1,,473.65,16.80731411,5.977227552,4.944444444,1,2,5,4.596996397,1.000539041,9.944444444,0.00013476,0.001340116,0.845299145,54.97516786
stisan,Calidris himantopus,Stilt Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,5,Shorebirds strongly negatively affected in Song et al. 2024,57.24,2.949343965,7.309369927,3.535714286,2,5,4,36.32345485,1.004259266,56.51785714,0.001064817,0.060181148,0.543609023,16.29386908
sumtan,Piranga rubra,Summer Tanager,landbird,Passeriformes,Cardinalidae,8,1,,29.13,1.691003136,7.163096649,2,2,2,4,521.4846792,1.061148974,6,0.015287244,0.091723461,0.870850202,355.3595263
sursco,Melanitta perspicillata,Surf Scoter,waterfowl,Anseriformes,Anatidae,11,5,,1096.33,33.54674532,6.420554513,5,1,4,5,1106.109269,1.129701696,80,0.032425424,2.594033913,0.391497976,2563.01032
swaspa,Melospiza georgiana,Swamp Sparrow,landbird,Passeriformes,Passerellidae,7,2,,16.1,1.037722765,7.010961465,2,2,1,4,6152.085755,1.721389808,6,0.180347452,1.082084713,0.870850202,4161.916789
swathr,Catharus ustulatus,Swainson's Thrush,landbird,Passeriformes,Turdidae,9,1,,30.3,1.74673899,6.155982756,2,1,2,5,2892.838719,1.339212497,7,0.084803124,0.593621869,0.86437247,2834.062019
swawar,Limnothlypis swainsonii,Swainson's Warbler,landbird,Passeriformes,Parulidae,13,1,,18.9,1.184203864,8.17918726,1.470588235,2,5,4,454.3585069,1.0532778,13.67647059,0.01331945,0.182163067,0.821124077,2053.634958
tenwar,Leiothlypis peregrina,Tennessee Warbler,landbird,Passeriformes,Parulidae,10,1,,8.9,0.636917404,11.0062338,1.470588235,4,4,2,1738.809766,1.203891768,6.941176471,0.050972942,0.353812186,0.864753513,1955.699716
