"","X","species_code","scientific_name","common_name.x","group","order","family","CCS.max","habitat_score","habitat_comment","bodymass","predicted_defecation_rate","est_axial_length","wingloading_quantile","axiallength_quantile","CCS_quantile","vis_acuity_risk","exposure","exposure_scaled","VI"
"12",12,"buffle","Bucephala albeola","Bufflehead","waterfowl","Anseriformes","Anatidae",8,4,"",397.46,14.5471270472349,17.73095333351,5,5,1,1,3533.695407536,1.41435895968523,64.9723075162228
"13",13,"buwtea","Spatula discors","Blue-winged Teal","waterfowl","Anseriformes","Anatidae",8,4,"",359.44,13.391137655255,12.9051602655968,5,4,1,2,59.2413377200756,1.00694660298556,70.0972524417978
"14",14,"cangoo","Branta canadensis","Canada Goose","waterfowl","Anseriformes","Anatidae",6,4,"",2811.68,72.8587655879555,11.3288892463391,5,4,1,2,4774.16421717922,1.55981557272256,58.3780635135869
"15",15,"comgol","Bucephala clangula","Common Goldeneye","waterfowl","Anseriformes","Anatidae",9,4,"",918.56,28.9986543861109,11.9364696152749,5,4,2,2,1308.13200579113,1.15339075798514,81.165904438266
"16",16,"commer","Mergus merganser","Common Merganser","waterfowl","Anseriformes","Anatidae",10,5,"",1451.02,42.256806847247,11.3316011582228,5,4,3,2,6394.08175204441,1.74976611092999,118.120906941275
"17",17,"gadwal","Mareca strepera","Gadwall","waterfowl","Anseriformes","Anatidae",8,4,"",915.58,28.9211592880732,12.3525535134364,5,4,1,2,712.165214987358,1.08350805702632,71.1691127983685
"18",18,"gnwtea","Anas crecca","Green-winged Teal","waterfowl","Anseriformes","Anatidae",9,4,"",341.89,12.8503393376781,13.0047033390337,5,4,2,2,712.784679250751,1.08358069502653,80.0663959466678
"19",19,"gresca","Aythya marila","Greater Scaup","waterfowl","Anseriformes","Anatidae",10,4,"",1005.37,31.2373482883384,9.57792261446494,5,3,3,3,6455.01318188858,1.75691089308312,115.138217861662
"20",20,"gwfgoo","Anser albifrons","Greater White-fronted Goose","waterfowl","Anseriformes","Anatidae",9,4,"",2506.39,66.2788555235783,9.32901194367214,5,3,2,3,0.818175481660106,1.00009593875598,90.0017268976077
"21",21,"lessca","Aythya affinis","Lesser Scaup","waterfowl","Anseriformes","Anatidae",9,4,"",819.45,26.3963927455193,15.9877210157671,5,5,2,1,1576.85457436786,1.18490100182844,69.996163524684
"22",22,"lotduc","Clangula hyemalis","Long-tailed Duck","waterfowl","Anseriformes","Anatidae",13,4,"",871,27.7564401014498,15.9877210157671,5,5,5,1,1384.0822634203,1.1622966386878,100.664784454412
"23",23,"mallar3","Anas platyrhynchos","Mallard","waterfowl","Anseriformes","Anatidae",7,4,"",843.42,27.0306179016566,12.7978037740126,5,4,1,2,1612.94243072846,1.18913264176746,63.5668748616514
"24",24,"mutswa","Cygnus olor","Mute Swan","waterfowl","Anseriformes","Anatidae",8,4,"",10682.04,218.702957262148,9.44922583613699,5,3,1,3,34112.4073698841,5,144
"25",25,"norpin","Anas acuta","Northern Pintail","waterfowl","Anseriformes","Anatidae",13,4,"",944.62,29.6744745311221,11.9274677411967,5,4,5,2,485.482867005611,1.05692742370733,115.045098889342
"26",26,"norsho","Spatula clypeata","Northern Shoveler","waterfowl","Anseriformes","Anatidae",7,4,"",612.56,20.7718816651977,13.444646397201,5,4,1,2,172.406314628571,1.02021625888307,61.4976491713176
"27",27,"rebmer","Mergus serrator","Red-breasted Merganser","waterfowl","Anseriformes","Anatidae",9,5,"",1015.17,31.4878814106218,11.3358029724852,5,4,2,2,2653.6140314361,1.31116115642766,99.4007882137356
"28",28,"rinduc","Aythya collaris","Ring-necked Duck","waterfowl","Anseriformes","Anatidae",8,4,"",704.55,23.3084971677545,11.9173219517226,5,4,1,2,7199.04436005689,1.84415553343943,81.818177468152
"29",29,"rudduc","Oxyura jamaicensis","Ruddy Duck","waterfowl","Anseriformes","Anatidae",8,5,"Needs space to take off",608.15,20.6486547475535,9.20751211329724,5,3,1,3,3115.57438688832,1.36533034483387,101.845285517342
"30",30,"tunswa","Cygnus columbianus","Tundra Swan","waterfowl","Anseriformes","Anatidae",11,4,"",6377.96,143.025528283849,12.2129028459668,5,4,4,2,1548.47391763451,1.18157310339833,99.7452822404179
"31",31,"wooduc","Aix sponsa","Wood Duck","waterfowl","Anseriformes","Anatidae",7,4,"",657.59,22.0214048784866,15.5136524141863,5,5,1,1,7373.01456206192,1.86455517279864,61.5778293143857
"32",32,"chiswi","Chaetura pelagica","Chimney Swift","landbird","Apodiformes","Apodidae",13,1,"",23.6,1.42184787549222,10.7322789310166,2,3,5,3,5822.31379280988,1.68272095014321,43.5942154398272
